Category,Symptom
IT Support / Desktop Support / Software Issue,Unable to Access Asset Acceptance Link - Assistance Required
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password Change
IT Support / Desktop Support / Software Issue,IThelpDesk - authentication error
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password expired
IT Support / Desktop Support / Software Issue,Microsoft Azure Storage Explorer is not working/Not able to open it
IT Support / Desktop Support / Software Issue,Not able to access documents from sharepoint
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to Forticlient VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Boot-up,Laptop is not booting
IT Support / Desktop Support / User Profile / Password Expired,Regarding Password change
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network. Also unable to reset my password
IT Support / Desktop Support / Software Issue,Unable to connect to GlobalProtect VPN & SSMS
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Software Issue,I am unable to connect to my client server from my local system.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams audio working in Tredence environment however the audio for teams isn't working in KCC environment.
IT Support / Desktop Support / Software Issue,Docker desktop is not working
IT Support / Desktop Support / Software Issue,Outlook fails to open
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Unable to open image(PNG) files
IT Support / Desktop Support / Software Issue,Need Urgent help
IT Support / Desktop Support / Internet / VPN not connecting,Connection failed for FortiClient VPN using my credentials with FortiClient token.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,New Service Request raised for - IT Support\Network Services\Others\Other Network Request -
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Azure Explorer is not opening
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Not able to access camera
IT Support / Desktop Support / Laptop / Speaker and Audio,Audio issues in Teams
IT Support / Desktop Support / Software Issue,Lenovo Premier: Depot First Reminder 4014811833 PF49QLAW
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,unable to connect to Home WiFI
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Boot-up,Help Set up Laptop
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Wi-Fi is Not Getting Connected
IT Support / Desktop Support / Software Issue,un installation of JAVA
IT Support / Desktop Support / Software Issue,JAVA uninstallation
IT Support / Desktop Support / Internet / VPN not connecting,Not able to login VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Need to install Power BI report builder.
IT Support / Desktop Support / Software Issue,IT Service Desk - Unable to open
IT Support / Desktop Support / Software Issue,Wi-fi connection Issue
IT Support / Desktop Support / Software Issue,software installation visual C++
IT Support / Desktop Support / User Profile / Account Lockout,My account is locked
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to the VPN using FortiClient
IT Support / Desktop Support / User Profile / Password Expired,Password Reset
IT Support / Desktop Support / Software Issue,"Allocation-TransID#6202/FIXED/AssetID#9013 - Asset Allocation Mail Alert - Location: San Jose - US\San Jose, US- Store"
IT Support / Desktop Support / Software Issue,Need to get Power BI installed on my Computer
IT Support / Desktop Support / Software Issue,docker stopped working
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,whenever trying to open new tab it asks me to accept some AUP agreement
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,skype for business not working
IT Support / Desktop Support / Software Issue,Unable to connect to ODBC on VPN
IT Support / Desktop Support / Software Issue,Change Reporting Manager Name in TEAMS
IT Support / Desktop Support / Software Issue,Laptop Configuration
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Vpn Not Getting Connected
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to Forti Client VPN
IT Support / Desktop Support / Software Issue,Facing issue with docker buildError response from daemon: Ports are not available: exposing port TCP 0.0.0.0:1433 - 0.0.0.0:0: listen tcp4 0.0.0.0:1433: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.
IT Support / Desktop Support / User Profile / Account Lockout,Account locked
IT Support / Desktop Support / User Profile / Account Lockout,"Shreeyash Ransubhe account has been locked again, need permanent fix"
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Account Lockout,"Ankit's account has been locked out, and forticlient VPN is also not getting connected"
IT Support / Desktop Support / User Profile / Account Lockout,Unable to login to the account and is locked
IT Support / Desktop Support / Software Issue,URGENT: Account Locked - Elliot Huebler
IT Support / Desktop Support / User Profile / Account Lockout,"Shreeyash Ransubhe account has been locked again, need permanent fix"
IT Support / Desktop Support / User Profile / Password Expired,Change Laptop Login Password
IT Support / Desktop Support / Software Issue,Windows account locked
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Internet / VPN not connecting,"Password needs reset, Fortitoken app needs reset."
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Internet / VPN not connecting,Unable to access Tredence VPN
IT Support / Desktop Support / Internet / VPN not connecting,Request to Unblock Google Drive links in Office
IT Support / Desktop Support / User Profile / Account Lockout,Account locked.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Unable to change password
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient VPN is not working
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Speaker and Audio,Unable to play video in my local
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Not able to install Docker Desktop in the system
IT Support / Desktop Support / Software Issue,Need to install Report builder application
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Call Forwarding Issue on Teams - Not Receiving Incoming Calls
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,permission denied
IT Support / Desktop Support / Software Issue,My immediate director name is not listed - Anuj Agarwal
IT Support / Desktop Support / Software Issue,unable to connect to global protect vpn
IT Support / Desktop Support / Laptop / System Performance,System Issue
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,Request for assistance
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Password Expired,Need to change the Tredence login password as account is frequently getting locked
IT Support / Desktop Support / Software Issue,Help in installing Citrix
IT Support / Desktop Support / Laptop / System Boot-up,Laptop not Starting
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop crashed
IT Support / Desktop Support / User Profile / Password Expired,In need of change of account password
IT Support / Desktop Support / Software Issue,Unable to connect to ODBC in DBeaver
IT Support / Desktop Support / Software Issue,"Requires Webex, Slack, Adobe experience Platform debugger extension, Cisco Connect and VM Horizon"
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,We want to install powershell module for project use which requires Admin access.
IT Support / Desktop Support / Software Issue,Python.exe path needs to be added to environment variable
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Need help with my laptop
IT Support / Desktop Support / Software Issue,Visual Studio Code stopped working.
IT Support / Desktop Support / Software Issue,"Allocation-TransID#6217/FIXED/AssetID#8976 - Asset Allocation Mail Alert - Location: San Jose - US\San Jose, US- Store"
IT Support / Desktop Support / Software Issue,"Allocation-TransID#6217/FIXED/AssetID#8976 - Asset Allocation Mail Alert - Location: San Jose - US\San Jose, US- Store"
IT Support / Desktop Support / Software Issue,Request for laptop replacement
IT Support / Desktop Support / Software Issue,Access my client email (Outlook) and Teams on my mobile
IT Support / Desktop Support / Software Issue,Adding Environment Variables
IT Support / Desktop Support / Software Issue,Installing Python -
IT Support / Desktop Support / Software Issue,Reminder to Accept Asset
IT Support / Desktop Support / Software Issue,Urgent: WiFi Connectivity Issue on Laptop - Intel WiFi Adapter Problem
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,vpn is not working as it required token
IT Support / Desktop Support / Software Issue,Request for software installation
IT Support / Desktop Support / Internet / VPN not connecting,"Not able to connect to VPN , need to change the password as it exceeds more than 180 days."
IT Support / Desktop Support / Software Issue,I am not able to connect to VPN I am using my credentials but its not working
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Software Issue,Support with password change
IT Support / Desktop Support / User Profile / Account Lockout,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,Vpn Not Getting Connected
IT Support / Desktop Support / Software Issue,Google Chrome is not working
IT Support / Desktop Support / Laptop / System Performance,Issue with laptop
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Software Issue,Zoom uninstallation
IT Support / Desktop Support / Software Issue,Request to enable Windows Long Path support to allow installation of development packages with deeply nested file structures.
IT Support / Desktop Support / Software Issue,Not able to conn VPN
IT Support / Desktop Support / Software Issue,DOCKER FAILED!
IT Support / Desktop Support / Software Issue,I cannot install the software that are listed on the SelfServicePortal. I would need software like 1. Google Chrome2. Python3. Putty4. Docker Desktop 5. VMware Horizon Client
IT Support / Desktop Support / Software Issue,Need to edit env variable
IT Support / Desktop Support / Internet / VPN not connecting,Not able to access VPN
IT Support / Desktop Support / Internet / VPN not connecting,I am unable to connect to Forti client VPN
IT Support / Desktop Support / User Profile / Account Lockout,Password change needed after account unlock
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop not turning on
IT Support / Desktop Support / Software Issue,Request Assistance - international meeting regarding Dollar General Account set up error
IT Support / Desktop Support / Software Issue,Not able to download MySQL from self service portal
IT Support / Desktop Support / Laptop / System Performance,Laptop is not working properly
IT Support / Desktop Support / User Profile / Password Expired,"Hi Team, Please reset my password."
IT Support / Desktop Support / Software Issue,"Allocation-TransID#6238/FIXED/AssetID#8976 - Asset Allocation Mail Alert - Location: San Jose - US\San Jose, US- Store"
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Wi-Fi Is Not Working In Laptop.
IT Support / Desktop Support / Software Issue,The laptop is requesting a reinstallation of Windows.
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Keyboard of the laptop is misbehaving
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not Able TO Connect to Pune Office Wifi
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,System issue
IT Support / Desktop Support / Software Issue,Accessing any files on OneDrive is taking a lot of time to load even after deleting Temp Files
IT Support / Desktop Support / Laptop / Display,Display outer cover broken
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to forticlient and also not able to change password
IT Support / Desktop Support / Internet / VPN not connecting,I'm facing issue with FortiClient VPN connection. I tried restarting the system but still am not able to connect to VPN.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,unable to login to client teams on tredence laptop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connectiing
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop not working
IT Support / Desktop Support / Laptop / System Performance,"Hi Team, I am working CST hours can you please change the time zone to CST to avoid the conflicts with calls and time."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Software Issue,Laptop replacement
IT Support / Desktop Support / Laptop / Display,My laptop time is incorrect
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN despite multiple tries. Requesting a permanent fix.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to access VPN
IT Support / Desktop Support / Software Issue,Unable to install AppGate Client from Self Service Portal
IT Support / Desktop Support / Internet / VPN not connecting,Swiitched to ios and unable to connect to vpn.Need to install fortitoken on ios .
IT Support / Desktop Support / Laptop / System Boot-up,Showing black screen after boot up
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Configuring new laptop.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Internet / VPN not connecting,VPN Connection issue
IT Support / Desktop Support / Laptop / System Boot-up,Assistance required for laptop issue: Juhi Singh
IT Support / Desktop Support / Software Issue,Installation and configuration of Microsoft SQL server
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,URGENT- Requesting help with Langchain installation which has C++ compiler dependencies
IT Support / Desktop Support / Software Issue,Reminder to Accept Asset
IT Support / Desktop Support / Mouse / Mouse Issue,"After updating to windows 11, my mouse is behaving weirdly. I can select specifically, it jumps when I try to get the pointer to my desired location."
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse Stopped Working
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Software installation from external link.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Laptop / System Performance,I am experiencing performance issues with the system.
IT Support / Desktop Support / Software Issue,Unable to login client account.
IT Support / Desktop Support / Software Issue,Unable to push to github
IT Support / Desktop Support / Laptop / Laptop Battery Drain,My Laptop charger is not working. I unable to charge my laptop
IT Support / Desktop Support / Software Issue,Re VPN Connection
IT Support / Desktop Support / Software Issue,Request for the Assistance for Software Installation
IT Support / Desktop Support / Software Issue,VS code not working
IT Support / Desktop Support / Software Issue,Outlook Not working/Outlook fails to open with OUT of Memory error/Outlook not working/My Mailbox is full/Email is not accessible
IT Support / Desktop Support / User Profile / Password Expired,Unable to change to password as VPN not working
IT Support / Desktop Support / Laptop / System Performance,"My laptop is lagging a lot, and the taskbar at the bottom is freezing."
IT Support / Desktop Support / Software Issue,Not able to install python locally from self service portal
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,Lenovo drivers need to updated.
IT Support / Desktop Support / Software Issue,Need to install power BI
IT Support / Desktop Support / Software Issue,FortiToken Mobile FTKMOB284019B112 Activation on treindfac.tredence.com
IT Support / Desktop Support / Software Issue,Logged out of my device
IT Support / Desktop Support / Laptop / System Performance,System performance is very low. CPU is continuously clocking at 90%
IT Support / Desktop Support / O365 Issue / Outlook Issue,Login issues in Outlook and Teams using Pepsico credentials
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient VPN || Tredence
IT Support / Desktop Support / Software Issue,Microsoft To-Do application update
IT Support / Desktop Support / Laptop / Bluescreen,Repeated BSOD Issues on Laptop
IT Support / Desktop Support / O365 Issue / MS Teams Issue,"MS Teams showing the problem that ""Device non-compliant"""
IT Support / Desktop Support / Software Issue,Please allow and install cisco secure client from app store. This is free software.
IT Support / Desktop Support / Software Issue,Request: To change the system time zone to 'Automatic' (currently set as EST)
IT Support / Desktop Support / Laptop / Laptop Battery Drain,battery does not last more than 10 mins
IT Support / Desktop Support / Software Issue,The below listed are not available in my Self service portal please make them available
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,I'm unable launch the adobe XD application on my laptop.
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,"Hi Team,Please add the below ip to C:\Windows\System32\drivers\etc\hosts172.26.22.68 cdoproddomainstore.database.windows.netas it needs admin credentials, I am not able to add it.Thanks"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / User Profile / Password Expired,Frequent Account Lockout Issues
IT Support / Desktop Support / Laptop / Speaker and Audio,Request for Assistance: System Sound Issue
IT Support / Desktop Support / Software Issue,Need to reconfigure Sql Server in my local for the docker
IT Support / Desktop Support / Laptop / Laptop Battery Drain,New Service Request raised for - IT Support\Desktop\Amenities\IT Amenities - (Selected From: IT Support\Desktop\Amenities)
IT Support / Desktop Support / Software Issue,Install Sticky notes and One note on Desktop
IT Support / Desktop Support / Laptop / System Performance,Laptop Replacement
IT Support / Desktop Support / Software Issue,"unable to access the O365 Apps, need to re-configure the MFA."
IT Support / Desktop Support / User Profile / Account Lockout,Account getting locked
IT Support / Desktop Support / Software Issue,I want to update my power bi
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,VS Code got corrupted
IT Support / Desktop Support / Software Issue,Not able To Log In
IT Support / Desktop Support / Software Issue,Unable to access Chrome
IT Support / Desktop Support / User Profile / Account Lockout,IM14449 - Incident Resolved
IT Support / Desktop Support / Software Issue,Access to edit the environment variables for python
IT Support / Desktop Support / Laptop / System Performance,Backup Desktop Configure
IT Support / Desktop Support / Software Issue,Install Bitlocker
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Issue with Connecting to Personal Network After Windows 11 Upgrade
IT Support / Desktop Support / Software Issue,IT Pre-requisite for Access to Client's Environment – Product Analytics with Intuit
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Unable to login apps after motherboard change
IT Support / Desktop Support / Software Issue,unistall python 3.13 and install python 3.12
IT Support / Desktop Support / Software Issue,Forticlient will not work
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / User Profile / Account Lockout,Request for unlocking account
IT Support / Desktop Support / User Profile / Account Lockout,Account locked
IT Support / Desktop Support / Internet / VPN not connecting,Re; VPN issue
IT Support / Desktop Support / Software Issue,"Allocation-TransID#6259/FIXED/AssetID#8990 - Asset Allocation Mail Alert - Location: San Jose - US\San Jose, US- Store"
IT Support / Desktop Support / User Profile / Account Lockout,"Hi, I was logged out my account as I couldn't connect to Forticlient"
IT Support / Desktop Support / Laptop / Display,Clock settings are wrong
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Account locked and Password Change
IT Support / Desktop Support / Software Issue,Databricks Tableau Driver Help Needed ASAP - Urgent
IT Support / Desktop Support / Software Issue,I unable to open docker desktop in my local. Pleae help me on this
IT Support / Desktop Support / User Profile / Account Lockout,Account Locked
IT Support / Desktop Support / User Profile / Account Lockout,Account is locked
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Account Lockout,Request to Unlock Microsoft Office Account for Gajendra Singh
IT Support / Desktop Support / User Profile / Password Expired,Change password
IT Support / Desktop Support / User Profile / Account Lockout,Microsoft Account Locked for Nasir
IT Support / Desktop Support / Software Issue,Apache Spark and JDK Installation
IT Support / Desktop Support / Laptop / System Performance,Teams account blocked
IT Support / Desktop Support / Laptop / Speaker and Audio,IM14572 - Feedback Required
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Urgent Assistance Required - Account Lockout Issue
IT Support / Desktop Support / Software Issue,Additional 100 Lenovo Laptops
IT Support / Desktop Support / User Profile / Account Lockout,Laptop has been locked
IT Support / Desktop Support / User Profile / Account Lockout,"The Tredence Account is not able to be logged in on any place. Teams, Outlook and tools are locked out"
IT Support / Desktop Support / Software Issue,Need to install Anaconda to run the conda virtual environment in local
IT Support / Desktop Support / User Profile / Password Expired,Need to change password
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,"I want to cleanup junk files, and also set up Date and Time"
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect FortiClient VPN
IT Support / Desktop Support / User Profile / Password Expired,Password Expired..
IT Support / Desktop Support / Laptop / System Performance,Laptop Frozen
IT Support / Desktop Support / User Profile / Account Lockout,Not able to login into his account. Need to resolve this ASAP.
IT Support / Desktop Support / Software Issue,Google language issue
IT Support / Desktop Support / User Profile / Account Lockout,Locked out and Unable to access Tredence account
IT Support / Desktop Support / Software Issue,The account for Siddesh has been locked. He is not able to login into any of the tredence application.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Sandeep is unable to access MS Teams and outlook
IT Support / Desktop Support / Software Issue,Need to reinstall MS Project Professional on my laptop
IT Support / Desktop Support / User Profile / Account Lockout,Raj changed his password and it got locked. He's unable to login to the laptop.
IT Support / Desktop Support / Laptop / Bluescreen,OS re installation and profile logging
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,Regarding forti client Access Issue
IT Support / Desktop Support / Software Issue,Vscode is not opening.Throwing a javascript error
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Azure Data Studio is not working
IT Support / Desktop Support / User Profile / Account Lockout,Account Locked out
IT Support / Desktop Support / Software Issue,microsoft authenticator issue
IT Support / Desktop Support / Software Issue,Mujeeb' account for teams and ms outlook is locked. Please unlock
IT Support / Desktop Support / User Profile / Password Expired,Tredence account is locked
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient VPN - Mobile access
IT Support / Desktop Support / User Profile / Account Lockout,Neha Issrani is logged out of Outlook and Teams from all her devices
IT Support / Desktop Support / O365 Issue / Outlook Issue,Outlook Not working/Outlook fails to open with OUT of Memory error/Outlook not working/My Mailbox is full/Email is not accessible
IT Support / Desktop Support / Internet / VPN not connecting,Request for FortiToken and Installation Procedure
IT Support / Desktop Support / Internet / VPN not connecting,Not able to conn VPN
IT Support / Desktop Support / Software Issue,VPN not connecting
IT Support / Desktop Support / Software Issue,Unable to connect to SSMS using office network (Tredence_IND).
IT Support / Desktop Support / Software Issue,Docker failed
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Docker issue
IT Support / Desktop Support / Software Issue,Request for Installation of LockDown Browser for Azure Databricks Certification Exam
IT Support / Desktop Support / Laptop / Display,Laptop Replacement
IT Support / Desktop Support / Internet / VPN not connecting,Fortitoken needed
IT Support / Desktop Support / Internet / VPN not connecting,Vpn is not connecting (permission denied)
IT Support / Desktop Support / Software Issue,Please install Python Software in my system
IT Support / Desktop Support / Software Issue,Install Snowflake CLI in system and set python variable
IT Support / Desktop Support / Software Issue,Not able to send email
IT Support / Desktop Support / Software Issue,Need to apply Latest patch in my Laptop for Coorstek clinet access
IT Support / Desktop Support / Laptop / Display,Datetime issue
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password expired
IT Support / Desktop Support / Software Issue,Teams login issue in system'
IT Support / Desktop Support / O365 Issue / Outlook Issue,Outlook not loading(Disconnected)
IT Support / Desktop Support / Software Issue,Issue with the GIT
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Software Issue,Request for License to Access Oracle Toad
IT Support / Desktop Support / Software Issue,Not able to open image in my system
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / O365 Issue / Outlook Issue,Cannot login client account on outlook
IT Support / Desktop Support / Laptop / Speaker and Audio,"Laptop audio is not working,."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Laptop Battery Drain,My laptop was too slow in responding and unable to do my work.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,"SSL certificate problem: unable to get local issuer certificate , while trying to clone a repo"
IT Support / Desktop Support / O365 Issue / Outlook Issue,Outlook Not working/Outlook fails to open with OUT of Memory error/Outlook not working/My Mailbox is full/Email is not accessible
IT Support / Desktop Support / Software Issue,i'm not able to connect with the data sources
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Login Issue - Incorrect Authentication
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Password Expired,VPN not working
IT Support / Desktop Support / Software Issue,Python path is not added to environment variable
IT Support / Desktop Support / Software Issue,python is not added to environment path .
IT Support / Desktop Support / Software Issue,Need to run docker with admin priveleges to run docker commands
IT Support / Desktop Support / Software Issue,"VMWare Horizon Client not getting installed from Self service portal with error ""Installation Failed - Fatal error during installation"""
IT Support / Desktop Support / User Profile / Account Lockout,Venkatesh Account got Locked
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Installation of cisco Anyconnect VPN
IT Support / Desktop Support / Laptop / Power-On Issue,Unable to login into the new laptop.
IT Support / Desktop Support / O365 Issue / Outlook Issue,Unable to sign in teams
IT Support / Desktop Support / User Profile / Password Expired,Unable to change my windows password
IT Support / Desktop Support / Internet / VPN not connecting,Can you help me in connecting my VPN
IT Support / Desktop Support / Software Issue,To add python as a environmental variable
IT Support / Desktop Support / Software Issue,Apache Spark and JDK installation
IT Support / Desktop Support / Software Issue,I am unable to connect with Citrix application
IT Support / Desktop Support / Internet / VPN not connecting,"Login User id & password is not working in Pune Tredence network, after I changed it.. The issue gets resolved temporatily but again comes up"
IT Support / Desktop Support / Software Issue,Unable to install snowflake connector for python
